distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,2,5,2,0.95,4,8,3674.07426974883,4342.848063928127,4338.646600434285,4401.905544455411,4345.017593948457,9912,5706
norm,2,5,2,0.95,5,8,3702.9100237336093,4255.913729696185,4247.655880810547,4318.421407969068,4267.76322693867,5781,1649
norm,2,5,2,0.95,6,8,3831.284828239348,3854.054253961102,3854.054253961102,3825.666746211358,4066.1356362897873,280,5685
norm,2,5,2,0.95,7,8,3666.2037869593137,4014.960241772196,4014.960241772196,3997.141934342579,4576.559956885405,130,4893
norm,2,5,2,0.95,8,8,3704.5926093509124,3921.8783633522567,3921.8783633522567,3901.304481037113,4094.2536539952166,5905,160
norm,2,5,2,0.95,9,8,3956.526321542685,3777.355625054567,3777.355625054567,3721.67113920826,3910.3911000059443,8909,6082
norm,2,5,2,0.975,0,8,3711.0935657010805,4374.329620242897,4381.056796269122,4435.481015224822,4543.173305102238,6514,756
norm,2,5,2,0.975,1,8,3763.245365253574,4422.708822902456,4437.218949100553,4490.1650039686465,4689.51627112168,113,2611
norm,2,5,2,0.975,2,8,3734.6390849632126,4280.119987158337,4286.003393814803,4272.02392766519,4494.546075609047,8321,6196
norm,2,5,2,0.975,3,8,4057.865064252534,5060.809130076147,5069.722633296907,5408.112674726136,5432.597193623964,6074,6255
norm,2,5,2,0.975,4,8,3690.979624064426,4006.8286805825464,4006.8286805825464,3981.844719454799,4281.391717230352,2479,6528
norm,2,5,2,0.975,5,8,3730.320213870917,4342.212868404436,4491.096500962045,4450.103497718873,4577.4536463147215,9692,3984
norm,2,5,2,0.975,6,8,3954.089123250346,4862.653932310648,4884.245746388201,5001.717538079038,4913.675045316091,5423,5023
norm,2,5,2,0.975,7,8,3718.7815662821663,3995.583802761029,4099.822055582233,3950.6112432379723,4439.022855737226,8456,2271
norm,2,5,2,0.975,8,8,3702.9575513194827,4138.448631764824,4138.448631764824,4121.767544792162,4487.9474992454425,7549,7888
norm,2,5,2,0.975,9,8,3705.2461955763056,4090.5848374032516,4090.5848374032516,4096.635967893667,4385.928881646797,2258,7347
norm,2,5,2,0.99,0,8,4156.907592010198,5194.870398746136,5208.7316718583215,5468.813252408323,6108.494093436673,1954,5637
norm,2,5,2,0.99,1,8,3769.733187521113,4385.445838785715,4393.832728865709,4374.332673587358,5059.380357171774,7293,1090
