distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,2,5,2,0.99,8,8,4905.869217339525,4912.52535014446,4905.853401472722,4914.458512089502,4906.077879015202,4905.9091056468915,4259,4519
norm,2,5,2,0.99,9,8,4505.430805202832,4510.0306190112215,4503.140738603961,4504.723810402861,4503.320817266909,4503.142243662884,6314,9488
norm,2,10,3,0.95,0,13,5513.375557588274,5328.068890336488,5207.296942089823,5215.561331754228,5203.583179606539,5203.776348582013,7870,8820
norm,2,10,3,0.95,1,13,5506.142688266873,5324.34498758885,5197.24652229703,5267.3829059868995,5199.308444754679,5187.801743655677,6074,6255
norm,2,10,3,0.95,2,13,5525.573051519454,5297.839892882223,5136.357099914392,5197.959525802054,5151.636165743022,5136.040450416962,5059,6485
norm,2,10,3,0.95,3,13,5613.064006592279,5190.462772804465,4933.360613362653,4954.012287397255,4933.304514350338,4965.70173343428,706,357
norm,2,10,3,0.95,4,13,5561.057588245104,5397.784192416267,5265.127481787517,5336.228787458694,5287.132333985742,5267.597960075593,4059,9458
norm,2,10,3,0.95,5,13,5556.038291617075,5291.701944983324,5119.217555280092,5162.48492515346,5124.9995034200665,5130.282354587502,8456,2271
norm,2,10,3,0.95,6,13,5560.9307851771655,5369.887391341468,5252.836295780219,5281.248823946645,5281.248823946645,5238.942171014622,5513,3284
norm,2,10,3,0.95,7,13,5613.3193520729765,5469.031226446432,5382.2334629171955,5422.324167269632,5413.826059121077,5382.168826624433,4681,318
norm,2,10,3,0.95,8,13,5463.2224067934785,5242.724957478217,5097.123656335575,5151.1763416607655,5128.640918772374,5093.793390701921,9818,220
norm,2,10,3,0.95,9,13,6098.578691814286,6049.715658102098,6039.006114622094,6063.953404324893,6042.434708435192,6048.5992506046605,7293,1090
norm,2,10,3,0.975,0,13,5658.576868377027,5548.3381801537835,5484.111075544796,5493.473201154724,5500.629921078602,5484.111821147688,7870,8820
norm,2,10,3,0.975,1,13,6165.176109680019,6098.075004108474,6087.3132168918755,6118.18545145854,6109.83907083035,6089.228384960179,3591,6016
norm,2,10,3,0.975,2,13,5415.422951371871,5162.95118021523,5001.3755073304255,5029.385034031059,5005.170236896325,5004.747788520784,6678,9741
norm,2,10,3,0.975,3,13,5693.724261850521,5595.973216319493,5566.082733577181,5594.411275709126,5564.592256968921,5565.837142769099,5939,1720
norm,2,10,3,0.975,4,13,5637.005448471257,5518.851715320833,5419.013344547438,5484.7008037974865,5433.45302939576,5418.553110720992,4059,9458
norm,2,10,3,0.975,5,13,5688.729809208584,5573.793591545886,5492.723880019893,5495.758643933262,5499.685345390815,5491.862993591705,7576,6211
norm,2,10,3,0.975,6,13,6043.023623091305,5990.082557116779,5962.158238964043,5971.769004681211,5965.838642153954,5967.887850818217,3460,4031
norm,2,10,3,0.975,7,13,6136.797641692612,6099.808998364291,6076.920397228588,6086.138995399749,6086.502286577233,6077.7281831135615,6978,9023
norm,2,10,3,0.975,8,13,5553.91502918634,5435.085916852182,5365.564526606996,5422.868681267495,5403.568910595015,5360.385160073259,9818,220
norm,2,10,3,0.975,9,13,5427.042556514871,5213.243059110964,5056.652396501618,5060.901618382345,5062.991768414849,5063.807697626622,3310,7130
norm,2,10,3,0.99,0,13,5882.924579762653,5805.950392164699,5769.843548833123,5798.216927868182,5782.500028255477,5771.196135100575,4225,296
norm,2,10,3,0.99,1,13,6939.284583284816,6919.780594720987,6925.943641856789,6957.523788339958,6940.722733601309,6926.180450022215,562,5800
norm,2,10,3,0.99,2,13,5509.670467585818,5362.835378209997,5277.248854148287,5305.427321820679,5283.485625559723,5276.46937331908,6678,9741
norm,2,10,3,0.99,3,13,6814.06696835987,6797.711380407859,6788.934175370982,6795.016508720543,6790.568419815934,6789.549690191992,1321,8596
norm,2,10,3,0.99,4,13,6141.513093666559,6083.669765957046,6071.5351593131845,6090.041247644492,6090.041247644492,6076.452395305181,1715,1185
norm,2,10,3,0.99,5,13,7033.61167237796,7021.41937071133,7026.122513281357,7060.258533169504,7030.729486188625,7023.727009894824,5877,7602
norm,2,10,3,0.99,6,13,6294.233764825247,6256.373151310478,6244.643355646548,6254.401281389609,6249.191960778956,6248.172616080229,3460,4031
norm,2,10,3,0.99,7,13,7770.169975358306,7767.927596175559,7768.237866130007,7789.131148646224,7776.478044000091,7768.9728534019705,3719,6729
norm,2,10,3,0.99,8,13,8042.684655859767,8042.12053807017,8043.293243218963,8052.166029962489,8048.374222384879,8042.2505982796565,5781,1649
norm,2,10,3,0.99,9,13,6198.529120251411,6157.4902180239515,6145.274475468172,6161.429894642472,6157.492723034935,6146.884193492775,1833,9039
geom,1,3,1,0.95,0,5,771.9817999999998,760.1904730799997,764.8556499999997,765.2127427203028,764.8556499999997,764.8583904999997,4225,296
geom,1,3,1,0.95,1,5,842.8289000000002,838.1060159200001,838.4554680848485,839.2058703866668,838.3945000000001,838.4498000000001,8604,4448
geom,1,3,1,0.95,2,5,653.052,635.56310268,635.275201528788,640.9668183959596,638.3521999999999,635.30872,8909,6082
geom,1,3,1,0.95,3,5,614.1626999999999,589.8458824799999,583.0429999999998,583.5058895999999,584.3888999999998,583.1016399999999,8518,1686
geom,1,3,1,0.95,4,5,707.5314999999999,694.7698610399999,696.0377999999998,697.750369410101,696.0377999999998,696.032,85,9941
