distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,0.5,5,1,0.99,4,6.5,4823.485994713021,4803.855759785296,8309.107342038169,4827.35322130841,4263,6408
norm,0.5,5,1,0.99,5,6.5,4870.518160550871,4856.119390356056,8320.71629832535,4882.313337958192,2984,3907
norm,0.5,5,1,0.99,6,6.5,5227.813067132851,5216.032573653705,8744.822694763612,5234.734373882669,1162,5017
norm,0.5,5,1,0.99,7,6.5,4990.167726354574,4970.669290165156,8491.34949360045,4991.494814965909,5600,7059
norm,0.5,5,1,0.99,8,6.5,5064.352017094226,5051.1232179926465,8557.735322915158,5063.999610065296,9284,6460
norm,0.5,5,1,0.99,9,6.5,5442.686190266716,5431.076226413182,8998.381297361564,5445.872175263191,557,2364
norm,0.5,5,2,0.95,0,6.5,3957.1877314497915,3914.855053824107,5264.274241832035,3930.984350748222,1282,2979
norm,0.5,5,2,0.95,1,6.5,3870.4655875615244,3816.8757553402165,5133.798304154269,3847.802145583764,5913,751
norm,0.5,5,2,0.95,2,6.5,3923.4862142481547,3887.2876194535334,5257.845974482206,3902.3830379579395,7520,7133
norm,0.5,5,2,0.95,3,6.5,3953.0436932711355,3919.141094770726,5306.902849730209,3930.63202023375,3805,5288
norm,0.5,5,2,0.95,4,6.5,3769.898991754966,3715.6752019367627,4992.405038063601,3730.839918753578,4280,7483
norm,0.5,5,2,0.95,5,6.5,3825.1916584228566,3773.0729919056475,5071.191714734416,3787.285338087514,8804,3947
norm,0.5,5,2,0.95,6,6.5,3971.043972354805,3934.005236404468,5297.152760971676,3941.7990943411173,150,1822
norm,0.5,5,2,0.95,7,6.5,3916.527323379718,3869.4148810746165,5240.725822930791,3906.7325854755063,1217,6163
norm,0.5,5,2,0.95,8,6.5,4109.646948314928,4084.48910106696,5502.753879720562,4103.52184913447,9951,3658
norm,0.5,5,2,0.95,9,6.5,4088.239536006598,4049.9786591104075,5464.371762099497,4074.5106299933323,262,2427
norm,0.5,5,2,0.975,0,6.5,4280.853657541204,4263.003978411523,5723.490937460659,4275.269594324017,4062,4813
norm,0.5,5,2,0.975,1,6.5,3758.951678387452,3704.5219021357616,4977.353282935325,3731.736340874537,7514,5878
norm,0.5,5,2,0.975,2,6.5,4343.635024651851,4328.318995439464,5792.397716279663,4340.378942604673,7743,983
norm,0.5,5,2,0.975,3,6.5,4444.08905677588,4435.024516946089,5945.78521510471,4442.427911375321,599,7933
norm,0.5,5,2,0.975,4,6.5,4646.653456081304,4635.555077177989,6153.725502510716,4646.541294285759,7251,1584
norm,0.5,5,2,0.975,5,6.5,4341.198388188912,4323.259353321012,5801.634631911296,4331.943580086353,3302,5232
norm,0.5,5,2,0.975,6,6.5,4297.26651791904,4282.037145606363,5761.1326964378,4292.790402682891,4426,5293
norm,0.5,5,2,0.975,7,6.5,4329.807592701767,4314.664015797782,5785.409111993877,4326.255177767583,2412,85
norm,0.5,5,2,0.975,8,6.5,4197.505510738893,4179.006163602831,6086.982997517592,4186.649222204884,4838,402
norm,0.5,5,2,0.975,9,6.5,4281.99295803106,4262.7920884974055,5718.673430699313,4280.019890913899,1416,2886
norm,0.5,5,2,0.99,0,6.5,5075.446557635663,5076.6340191361605,6633.961415233005,5076.634143761759,2296,9037
norm,0.5,5,2,0.99,1,6.5,5009.678906856556,5007.192000708159,6575.78978191844,5010.935318587814,8215,6419
norm,0.5,5,2,0.99,2,6.5,5024.909155848902,5023.354374955822,6602.1032179664535,5024.310693844569,6809,6740
norm,0.5,5,2,0.99,3,6.5,5278.082550821174,5278.504769264931,6855.91977984109,5280.245115191927,2236,6285
norm,0.5,5,2,0.99,4,6.5,5059.767460096847,5057.558027223584,6630.914735244031,5058.188747589585,6124,1492
norm,0.5,5,2,0.99,5,6.5,4971.115323287117,4969.700226053771,6529.313972192552,4972.904974272597,8759,2092
norm,0.5,5,2,0.99,6,6.5,5365.380491438763,5365.302175855247,6953.500677474387,5364.91945244848,3738,9477
norm,0.5,5,2,0.99,7,6.5,5092.310716727143,5091.579909662718,6655.118283364808,5094.684461942204,6130,4773
norm,0.5,5,2,0.99,8,6.5,5373.660149163831,5373.843120816597,6962.972036665032,5375.15525851652,47,9805
norm,0.5,5,2,0.99,9,6.5,4994.237221287748,4989.256541059594,6550.527241527853,4996.023460097547,9564,2380
norm,0.5,5,3,0.95,0,6.5,3813.7189577656354,3806.0453132984157,5523.435419330767,3793.866939815158,8634,3779
norm,0.5,5,3,0.95,1,6.5,3915.940347722197,3917.89868096113,5767.301280456286,3909.0509892447567,6114,5094
norm,0.5,5,3,0.95,2,6.5,3738.002092065192,3734.8197733730635,5466.748977887608,3723.3428568128643,4210,1605
norm,0.5,5,3,0.95,3,6.5,3964.039623243451,3960.1600340175814,5790.01459057693,3953.229755760765,4310,8696
norm,0.5,5,3,0.95,4,6.5,3909.939033891292,3909.605889141474,5721.617436921158,3901.614482594732,8048,1519
norm,0.5,5,3,0.95,5,6.5,3977.9540776452295,3981.600271642234,5816.987844800243,3973.0844431325613,5131,9189
norm,0.5,5,3,0.95,6,6.5,3958.712763294624,3953.937294496166,5785.873633246401,3948.1952626427,2880,8922
norm,0.5,5,3,0.95,7,6.5,3957.3307616034494,3957.687223536159,5827.639090405637,3959.5839952961933,2410,400
norm,0.5,5,3,0.95,8,6.5,3901.088840139914,3898.4617195020055,6431.657638875337,3893.084151471033,69,9550
norm,0.5,5,3,0.95,9,6.5,3862.19510415222,3855.209902322539,5645.20605803352,3846.781140264381,1945,4097
norm,0.5,5,3,0.975,0,6.5,4383.597971734673,4386.877096865592,6376.231791700894,4381.630739307159,7226,4013
norm,0.5,5,3,0.975,1,6.5,4269.459685741305,4271.252033073126,6241.372474658351,4270.761232245795,2505,8869
norm,0.5,5,3,0.975,2,6.5,4136.958044899105,4136.471780815249,6061.546892380914,4132.929858996958,4694,3037
norm,0.5,5,3,0.975,3,6.5,4289.529276862536,4290.208266832992,6249.438016671528,4290.318653844188,1170,6451
norm,0.5,5,3,0.975,4,6.5,4707.635540323193,4709.582957849955,6763.26728502118,4707.668924489105,6379,8988
norm,0.5,5,3,0.975,5,6.5,4194.221143104761,4198.590552197145,6117.332365448567,4193.686693467712,9185,4931
norm,0.5,5,3,0.975,6,6.5,4181.08239960482,4185.782743343819,6115.248016991625,4178.41429176753,4259,4519
norm,0.5,5,3,0.975,7,6.5,4228.562833854022,4231.996232110309,6175.885424416164,4228.220746655597,5059,6485
norm,0.5,5,3,0.975,8,6.5,4119.013266086573,4122.286975408678,6030.1706102391745,4115.736138264058,5513,3284
norm,0.5,5,3,0.975,9,6.5,4279.860057756284,4279.356226504315,6227.140267437994,4277.68796296403,7870,8820
norm,0.5,5,3,0.99,0,6.5,4878.315303935343,4880.173602158612,6945.975481326901,4879.241422789679,4059,9458
norm,0.5,5,3,0.99,1,6.5,4955.585732640713,4957.722019327599,7053.143982535377,4955.604031318306,9818,220
norm,0.5,5,3,0.99,2,6.5,4833.01561326434,4835.340705375589,6908.037395025298,4832.7778030307945,6678,9741
norm,0.5,5,3,0.99,3,6.5,5001.717881387542,5004.008975779843,7084.104070970647,5001.843885565879,3460,4031
norm,0.5,5,3,0.99,4,6.5,4986.107282875623,4988.183767497225,7050.19762473904,4986.865682793667,4225,296
norm,0.5,5,3,0.99,5,6.5,4892.621557522486,4894.596824128186,6966.165312911097,4892.652863003731,1715,1185
norm,0.5,5,3,0.99,6,6.5,4813.742045751186,4814.552574136911,6861.2862628482735,4814.129458190961,5781,1649
norm,0.5,5,3,0.99,7,6.5,4820.968043841746,4823.925655081523,6903.951679098351,4820.629601547386,8909,6082
norm,0.5,5,3,0.99,8,6.5,5072.337959703527,5074.113553354547,7152.649079817511,5072.479373038178,6074,6255
norm,0.5,5,3,0.99,9,6.5,5379.431900908051,5380.826920998409,7513.614848488948,5379.483010245178,8456,2271
norm,0.5,10,1,0.95,0,11.5,5513.299370800072,5199.003278526595,21328.183581925787,5221.015857740064,7293,1090
norm,0.5,10,1,0.95,1,11.5,5372.106355497055,5055.165261959538,21099.3421782693,5063.9173314710715,5939,1720
norm,0.5,10,1,0.95,2,11.5,5601.764400031104,5330.519076830676,21575.228984376885,5399.592076356889,6978,9023
norm,0.5,10,1,0.95,3,11.5,5564.244369821631,5286.679105549914,21676.650113573665,5332.744941269031,562,5800
norm,0.5,10,1,0.95,4,11.5,5568.862480160092,5339.486955591113,21829.25507247315,5432.838734676601,5877,7602
norm,0.5,10,1,0.95,5,11.5,5529.149476464717,5189.544462031684,21398.16751253162,5238.187588264398,1833,9039
norm,0.5,10,1,0.95,6,11.5,5369.7684546404125,5000.649696702875,20606.21414120683,5015.590668619335,8518,1686
norm,0.5,10,1,0.95,7,11.5,5444.761090239619,5197.566012618918,21470.42454265016,5200.424101996675,2038,8866
norm,0.5,10,1,0.95,8,11.5,5530.134487751753,5234.008908203179,21317.480357319568,5271.260550843006,2478,5871
norm,0.5,10,1,0.95,9,11.5,5541.681507240217,5250.295337752549,21625.094822910472,5308.88788621116,3640,2331
norm,0.5,10,1,0.975,0,11.5,6227.270438237729,6124.197572813953,22617.64530972726,6147.04252666297,5189,3028
norm,0.5,10,1,0.975,1,11.5,5910.240997237057,5795.494427571591,21976.814023452072,5869.019935359309,4840,3987
norm,0.5,10,1,0.975,2,11.5,5930.637119558556,5789.6345195137,22403.218829311816,5841.09651635778,245,7736
norm,0.5,10,1,0.975,3,11.5,5799.46294843171,5644.596886819286,21876.423771210597,5681.194448480329,2586,9448
norm,0.5,10,1,0.975,4,11.5,6241.869852314654,6158.641763649347,27721.56704291988,6202.286068161391,2195,9056
norm,0.5,10,1,0.975,5,11.5,5943.137018292154,5812.995971166745,22159.37530761422,5957.854751103808,3227,9638
norm,0.5,10,1,0.975,6,11.5,6244.053597399229,6159.796139810599,22408.043647893068,6195.955598956065,5996,5628
norm,0.5,10,1,0.975,7,11.5,6059.354152547915,5975.82604271413,22488.295380059608,6038.066556694654,299,5805
norm,0.5,10,1,0.975,8,11.5,5963.371528615451,5831.20487827465,22144.151189429045,5884.4303747641925,2664,6224
norm,0.5,10,1,0.975,9,11.5,6005.831327486353,5902.955880926275,22513.145549803565,6013.997243797466,3434,2229
norm,0.5,10,1,0.99,0,11.5,6754.086639584733,6716.636696398871,23218.72659330798,6764.575696117781,8259,7106
norm,0.5,10,1,0.99,1,11.5,6626.730299304559,6585.3622474688855,23077.876329612845,6629.883343489556,6263,9217
norm,0.5,10,1,0.99,2,11.5,6793.22825834593,6764.441859204402,24074.298647609638,6829.359460188762,7906,4383
norm,0.5,10,1,0.99,3,11.5,7362.567764847686,7344.107955081337,24315.555669329522,7364.644433234159,4523,1039
norm,0.5,10,1,0.99,4,11.5,6732.412790243039,6693.512367120621,23179.95549720729,6724.516027090768,9360,2484
norm,0.5,10,1,0.99,5,11.5,6579.643907782174,6514.428586477961,22558.681534228937,6546.888879872909,7724,1440
norm,0.5,10,1,0.99,6,11.5,6885.323516915712,6840.06115398645,23774.811510710024,6909.611414403843,4878,2216
norm,0.5,10,1,0.99,7,11.5,6906.3441633084285,6877.443211309341,23448.022366536497,6915.662520319339,4872,469
norm,0.5,10,1,0.99,8,11.5,6423.825312398466,6354.017238575611,22572.03784929941,6415.938216527138,3652,6279
norm,0.5,10,1,0.99,9,11.5,6727.837739103828,6677.980746154192,28053.87760084366,6742.422419604134,8345,7262
norm,0.5,10,2,0.95,0,11.5,5445.938360281742,5182.99603857802,15173.81786172134,5213.7056112512,9212,8422
norm,0.5,10,2,0.95,1,11.5,5488.7191579664695,5275.361183448011,15296.608950025728,5292.939900174938,2865,9363
norm,0.5,10,2,0.95,2,11.5,5418.322139687095,5223.985391228015,15501.940071034469,5258.738765045723,6355,9577
norm,0.5,10,2,0.95,3,11.5,5504.6068907765575,5328.9079429548865,15459.390209257725,5384.248636739363,8738,1149
norm,0.5,10,2,0.95,4,11.5,5484.570795325582,5284.113517828504,15297.348696966226,5297.816220840771,8105,2456
norm,0.5,10,2,0.95,5,11.5,5587.767845772162,5405.433346750746,15752.487224727503,5442.32663711681,9101,5586
norm,0.5,10,2,0.95,6,11.5,5316.3347199923655,5065.534042896423,15114.397008199385,5129.60175163775,9585,3405
norm,0.5,10,2,0.95,7,11.5,5455.545636608445,5200.987742234448,18242.13673728208,5183.006445068826,2769,9934
norm,0.5,10,2,0.95,8,11.5,5651.40843932296,5468.993128568161,15773.076652089268,5451.9808375966395,6904,1758
norm,0.5,10,2,0.95,9,11.5,5491.5780107791725,5242.563822067241,15195.617968599827,5196.246617071214,1836,9978
norm,0.5,10,2,0.975,0,11.5,6109.210857387157,6040.101191078997,16540.513200080957,6091.367655018421,6145,1831
norm,0.5,10,2,0.975,1,11.5,5892.011201920344,5775.7730003996185,16415.32065390408,5795.442656332377,6858,5166
norm,0.5,10,2,0.975,2,11.5,6029.419260004538,5927.914482828819,16547.081560037648,5981.913496872812,2721,8442
norm,0.5,10,2,0.975,3,11.5,6030.493918174554,5957.9170624051985,16442.584347044984,6011.688282525359,8440,5600
norm,0.5,10,2,0.975,4,11.5,5686.75804659966,5570.175969028405,15693.0597468997,5650.081731332274,2334,1412
norm,0.5,10,2,0.975,5,11.5,5855.958342665835,5777.829877694319,15892.700882018931,5803.066316967508,3995,9385
norm,0.5,10,2,0.975,6,11.5,5910.017485140828,5800.430434659034,16148.85065545061,5794.661886108773,9196,4922
norm,0.5,10,2,0.975,7,11.5,5733.892111094637,5596.468136610882,15895.635088676885,5603.798899556322,4263,6408
norm,0.5,10,2,0.975,8,11.5,5856.965486211933,5731.029816466812,15975.914013080375,5790.6086999758145,2984,3907
