distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,5,1,0.975,2,6.5,2226.4423125000008,1654.216039772727,1699.3776925,1757.2485925000003,156,7986
binom,0.5,5,1,0.975,3,6.5,2438.7535,1737.702984848485,1780.646,1836.2215,1466,6744
binom,0.5,5,1,0.975,4,6.5,2219.944,1654.8373434343432,1697.1567909999997,1735.271619375,5999,6897
binom,0.5,5,1,0.975,5,6.5,2131.2785,1579.3796363636366,1622.261,1666.12125,543,4782
binom,0.5,5,1,0.975,6,6.5,2236.015,1661.554727272727,1705.1198399999998,1750.1713599999998,2713,9720
binom,0.5,5,1,0.975,7,6.5,2303.964,1664.9460151515152,1708.6375,1763.588,2958,1883
binom,0.5,5,1,0.975,8,6.5,2140.361,1583.76788030303,1624.4861302499999,1671.3313870000002,1188,2809
binom,0.5,5,1,0.975,9,6.5,2240.1493946785004,1654.7171919191917,1698.021865,1757.04958,2365,1688
binom,0.5,5,1,0.99,0,6.5,2403.983,1816.562,1862.77575,1933.50285,6951,4960
binom,0.5,5,1,0.99,1,6.5,2353.658824999999,1822.374343232322,1864.977826199999,1928.9341302999992,9140,3505
binom,0.5,5,1,0.99,2,6.5,2398.7035,1816.8227739999995,1857.58694,1939.9118653,1629,9683
binom,0.5,5,1,0.99,3,6.5,2411.354,1822.9740219191913,1864.1877547999998,1943.5952098,1693,72
binom,0.5,5,1,0.99,4,6.5,2372.206,1733.863081818182,1777.78038,1837.4403300000001,5907,3917
binom,0.5,5,1,0.99,5,6.5,2450.5,1813.2598099999996,1855.0315592,1919.6641337,7323,6911
binom,0.5,5,1,0.99,6,6.5,2400.8715,1814.763063636364,1859.10256,1924.41226,9121,7906
binom,0.5,5,1,0.99,7,6.5,2635.764,1986.3207674545454,2030.1916719999997,2108.9686039,4342,3243
binom,0.5,5,1,0.99,8,6.5,2403.0815,1817.920942424242,1864.1424500000003,1926.955135,2251,4868
binom,0.5,5,1,0.99,9,6.5,2405.419975,1819.2090393939386,1861.0992499999993,1926.8626599999993,223,6326
binom,0.5,5,2,0.95,0,6.5,2062.404,1785.2349848484855,1812.13712,1857.5892,3420,9027
binom,0.5,5,2,0.95,1,6.5,2077.4080366492117,1795.7379354513703,1821.7439117015679,1873.4220985602067,5573,7770
binom,0.5,5,2,0.95,2,6.5,2145.0025,1848.6907515151522,1875.632225,1929.3606499999999,3059,6890
binom,0.5,5,2,0.95,3,6.5,2073.8265,1794.0051787878795,1820.3538250000001,1863.0466600000002,3293,4982
binom,0.5,5,2,0.95,4,6.5,2056.209,1782.818105,1808.473858,1839.5378875000001,6732,612
binom,0.5,5,2,0.95,5,6.5,2200.718,1848.6386767676759,1877.5826999999997,1932.4833,1733,6736
binom,0.5,5,2,0.95,6,6.5,2116.556128272251,1787.1814823734737,1813.3577926701573,1871.0899093717276,8170,517
binom,0.5,5,2,0.95,7,6.5,2147.5817499999994,1849.7324621212115,1878.7639500000002,1923.1422499999994,9445,808
binom,0.5,5,2,0.95,8,6.5,2120.2495,1787.991573636364,1812.86272975,1864.0668669999995,4945,8840
binom,0.5,5,2,0.95,9,6.5,2070.5296249999965,1788.2974558080775,1817.519899999997,1851.160208333327,7263,5251
binom,0.5,5,2,0.975,0,6.5,2398.597,2069.314984848485,2100.8055,2174.0395,6457,8855
binom,0.5,5,2,0.975,1,6.5,2306.184,1988.5356363636354,2015.4792400000001,2092.2865,6535,6947
binom,0.5,5,2,0.975,2,6.5,2322.3005624999983,1999.9432670454519,2027.9092549999982,2094.488749999998,6403,2715
binom,0.5,5,2,0.975,3,6.5,2216.427,1912.0017323232323,1940.356375,1992.594,3620,9933
binom,0.5,5,2,0.975,4,6.5,2476.6405,2148.7263121212136,2176.5898677500004,2252.8988262499997,4401,1012
binom,0.5,5,2,0.975,5,6.5,2239.831374999998,1926.8988068181793,1953.5548599999984,2012.360962499998,7234,9276
binom,0.5,5,2,0.975,6,6.5,2315.9295,1993.7350454545442,2022.69102,2094.6823999999997,5747,1248
