distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,5,1,0.95,6,6.5,836.6821249999964,620.2925787878761,618.5386349999973,643.398914999997,4036,7218
geom,0.5,5,1,0.95,7,6.5,891.068,615.2919393939394,613.1858000000001,637.50334,914,5373
geom,0.5,5,1,0.95,8,6.5,889.534,618.6728030303029,616.2393400000001,633.8535,2279,6091
geom,0.5,5,1,0.95,9,6.5,886.027,612.2057992424243,612.0503074999999,640.33934775,711,1247
geom,0.5,5,1,0.975,0,6.5,1052.2503124999998,743.9717165404041,744.9578125,777.3170725,6196,3120
geom,0.5,5,1,0.975,1,6.5,994.0683124999998,744.9264226010101,745.7355925,779.1751225,1629,8689
geom,0.5,5,1,0.975,2,6.5,991.109,743.6390090909092,744.9306799999999,772.58821,1384,6466
geom,0.5,5,1,0.975,3,6.5,996.3755,744.4945166666666,745.5683160000001,778.4726329999999,1937,784
geom,0.5,5,1,0.975,4,6.5,994.162,747.5311666666665,748.105588,780.130865,4036,7218
geom,0.5,5,1,0.975,5,6.5,1141.262,822.2709808080809,822.4511,856.83778,914,5373
geom,0.5,5,1,0.975,6,6.5,992.4715,744.6225505050505,745.57174,773.4278899999999,2279,6091
geom,0.5,5,1,0.975,7,6.5,1049.7045,741.5615797979799,743.11584,771.4071700000001,711,1247
geom,0.5,5,1,0.975,8,6.5,1052.2503124999998,743.9717165404041,744.9578125,777.3170725,6196,3120
geom,0.5,5,1,0.975,9,6.5,994.0683124999998,744.9264226010101,745.7355925,779.1751225,1629,8689
geom,0.5,5,1,0.99,0,6.5,1164.6697749999992,903.481331818181,904.8371749999993,937.4318649999992,1384,6466
geom,0.5,5,1,0.99,1,6.5,1082.8044999999993,822.71274090909,823.8085999999994,858.6982649999992,1937,784
geom,0.5,5,1,0.99,2,6.5,1166.27375,906.0065681818181,906.65265,942.2797500000001,4036,7218
geom,0.5,5,1,0.99,3,6.5,1318.2426999999993,990.7058512727265,990.7539837499992,1026.6383287499991,914,5373
geom,0.5,5,1,0.99,4,6.5,1078.904,822.496209090909,823.3558,854.19224,2279,6091
geom,0.5,5,1,0.99,5,6.5,1247.9295,984.6858565656566,986.31479,1024.8588,711,1247
geom,0.5,5,1,0.99,6,6.5,1163.332,903.8837474747475,904.7284000000001,940.587,6196,3120
geom,0.5,5,1,0.99,7,6.5,1167.098,904.1660221818181,905.0334119999999,941.4507437499999,1629,8689
geom,0.5,5,1,0.99,8,6.5,1164.6697749999992,903.481331818181,904.8371749999993,937.4318649999992,1384,6466
geom,0.5,5,1,0.99,9,6.5,1082.8044999999993,822.71274090909,823.8085999999994,858.6982649999992,1937,784
geom,0.5,5,2,0.95,0,6.5,910.9587499999998,741.2193691919192,740.1150449999999,766.89201,4036,7218
geom,0.5,5,2,0.95,1,6.5,908.852,736.3625,735.38252,766.7659199999999,914,5373
geom,0.5,5,2,0.95,2,6.5,908.074,739.2512272727273,737.967,759.3116,2279,6091
geom,0.5,5,2,0.95,3,6.5,982.658,800.2596059090907,800.79689775,834.8030185,711,1247
geom,0.5,5,2,0.95,4,6.5,906.4795,736.571781818182,735.889,763.007,6196,3120
