distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
norm,0.5,10,2,0.95,6,11.5,5957.183936980636,3848.894230297516,3996.950947460558,4005.8652664538135,1358,816
norm,0.5,10,2,0.95,7,11.5,6115.712707440625,3961.3860396062455,4116.38518672865,4134.49178526015,8565,6815
norm,0.5,10,2,0.95,8,11.5,6311.280878746369,4057.7109158785975,4206.740425104018,4248.2705277427285,2274,6421
norm,0.5,10,2,0.95,9,11.5,6086.292723540388,3931.0781691199354,4040.676824574966,4063.758702415538,8595,9623
norm,0.5,10,2,0.975,0,11.5,6651.8303085460275,4359.043950024344,4494.841705590115,4556.489905672895,7337,7638
norm,0.5,10,2,0.975,1,11.5,6818.000656818103,4355.428608679604,4500.513707083459,4547.5404713681455,4434,2715
norm,0.5,10,2,0.975,2,11.5,6427.44036209584,4255.247276785487,4411.141585821925,4473.246222125379,4379,4108
norm,0.5,10,2,0.975,3,11.5,6276.565700168396,4159.550657620217,4307.394323954002,4373.181223758391,8126,9833
norm,0.5,10,2,0.975,4,11.5,6267.74550328471,4126.592297265754,4271.609387187155,4314.992511497414,8915,3776
norm,0.5,10,2,0.975,5,11.5,6341.486015204662,4222.427500548774,4382.824270393908,4459.232407752897,1993,6698
norm,0.5,10,2,0.975,6,11.5,6294.834870093801,4091.8078287540275,4220.407848398885,4283.1171687795295,7602,6035
norm,0.5,10,2,0.975,7,11.5,6642.827755990466,4343.6970578500905,4503.88674503791,4546.10835026312,8127,8064
