distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,3.0,5,3,0.975,9.0,4.5,4478.050825980232,4504.965866245408,6802.635974388482,4477.469812341339,4997.2,5296.8
norm,3.0,5,3,0.99,9.0,4.5,5089.872919779262,5101.993169259426,7540.089945857076,5089.805488882412,3088.1,6288.1
norm,3.0,10,1,0.95,14.0,4.5,5644.834001138164,5309.423591463773,18472.961379503828,5466.2265672291405,6087.1,3686.2
norm,3.0,10,1,0.975,14.0,4.5,5994.06268113165,5853.19540534614,19085.706044159102,5961.106832438255,7197.9,5891.2
norm,3.0,10,1,0.99,14.0,4.5,6697.831906267782,6649.576348337045,20194.411807719443,6719.649153587152,4877.2,5705.1
norm,3.0,10,2,0.95,14.0,4.5,5657.25199993007,5402.787527250346,13857.449276161837,5508.948114605546,4820.7,4848.1
norm,3.0,10,2,0.975,14.0,4.5,6111.396139258849,6025.254391650428,14861.840708369185,6116.415220873031,4205.1,4049.3
norm,3.0,10,2,0.99,14.0,4.5,6731.22981068126,6702.949795631846,15750.950908703066,6753.739264798678,4753.1,4073.1
norm,3.0,10,3,0.95,14.0,4.5,5652.628763833459,5508.690181100652,10485.854345790787,5550.190401032718,5592.6,5631.7
norm,3.0,10,3,0.975,14.0,4.5,5990.776790711796,5937.16841381515,11286.945469452305,6012.207824992869,3846.3,5925.8
norm,3.0,10,3,0.99,14.0,4.5,6781.887765685087,6767.8990098495005,12346.575022103812,6821.330087476492,5265.6,4803.9
